:START_ID,:END_ID,:TYPE,source
ARS-0564,Kat_JRA,mengatur,Stage3A
ARS-0564,Tgl_2014-10-14,berlakuPada,Stage3A
ARS-0565,Kat_PK,mengatur,Stage3A
Lem_KOTA_BANJARMASIN,ARS-0565,menerbitkan,Stage3A
ARS-0566,Kat_PK,mengatur,Stage3A
ARS-0566,Tgl_2010-04-13,berlakuPada,Stage3A
Lem_PROVINSI_SULAWESI_SELATAN,ARS-0566,menerbitkan,Stage3A
ARS-0567,Kat_JRA,mengatur,Stage3A
ARS-0567,Tgl_2009-02-06,berlakuPada,Stage3A
ARS-0568,Kat_JRA,mengatur,Stage3A
ARS-0568,Tgl_2009-05-22,berlakuPada,Stage3A
ARS-0569,Kat_PK,mengatur,Stage3A
ARS-0570,Kat_PK,mengatur,Stage3A
Lem_PROVINSI_BANGKA_BELITUNG,ARS-0570,menerbitkan,Stage3A
Lem_PROVINSI_BANGKA_BELITUNG,ARS-0571,menerbitkan,Stage3A
ARS-0571,Kat_PK,mengatur,Stage3A
ARS-0572,Kat_PK,mengatur,Stage3A
Lem_PROVINSI_KALIMANTAN_TIMUR,ARS-0572,menerbitkan,Stage3A
ARS-0573,Kat_PK,mengatur,Stage3A
ARS-0573,Tgl_2007-09-28,berlakuPada,Stage3A
Lem_KEPOLISIAN_NEGARA_REPUBLIK_INDONESIA,ARS-0573,menerbitkan,Stage3A
ARS-0574,Kat_PK,mengatur,Stage3A
ARS-0574,Tgl_1970-01-01,berlakuPada,Stage3A
ARS-0575,Kat_PK,mengatur,Stage3A
ARS-0575,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_PURWAKARTA,ARS-0575,menerbitkan,Stage3A
ARS-0576,Kat_PK,mengatur,Stage3A
ARS-0576,Tgl_1970-01-01,berlakuPada,Stage3A
ARS-0577,Kat_PK,mengatur,Stage3A
ARS-0578,Kat_PK,mengatur,Stage3A
ARS-0579,Kat_PK,mengatur,Stage3A
ARS-0580,Kat_PK,mengatur,Stage3A
Lem_KABUPATEN_GRESIK,ARS-0580,menerbitkan,Stage3A
ARS-0581,Kat_PK,mengatur,Stage3A
Lem_KABUPATEN_MUSI_RAWAS,ARS-0581,menerbitkan,Stage3A
ARS-0582,Kat_PK,mengatur,Stage3A
ARS-0583,Kat_PK,mengatur,Stage3A
Lem_PROVINSI_JAWA_TENGAH,ARS-0583,menerbitkan,Stage3A
Lem_PROVINSI_JAWA_TENGAH,ARS-0598,menerbitkan,Stage3A
ARS-0584,Kat_PK,mengatur,Stage3A
ARS-0584,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KOTA_CILEGON,ARS-0584,menerbitkan,Stage3A
ARS-0585,Kat_PK,mengatur,Stage3A
Lem_KABUPATEN_ACEH_UTARA,ARS-0585,menerbitkan,Stage3A
ARS-0586,Kat_PK,mengatur,Stage3A
ARS-0586,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_TANAH_BUMBU,ARS-0586,menerbitkan,Stage3A
ARS-0587,Kat_PK,mengatur,Stage3A
ARS-0587,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_PURBALINGGA,ARS-0587,menerbitkan,Stage3A
ARS-0588,Kat_PK,mengatur,Stage3A
ARS-0589,Kat_PK,mengatur,Stage3A
ARS-0589,Tgl_2005-10-25,berlakuPada,Stage3A
ARS-0590,Kat_PK,mengatur,Stage3A
ARS-0590,Tgl_2004-10-18,berlakuPada,Stage3A
ARS-0591,Kat_PK,mengatur,Stage3A
Lem_KABUPATEN_BANYUMAS,ARS-0591,menerbitkan,Stage3A
ARS-0592,Kat_PK,mengatur,Stage3A
ARS-0592,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_MAGELANG,ARS-0592,menerbitkan,Stage3A
ARS-0593,Kat_PK,mengatur,Stage3A
ARS-0593,Tgl_2004-08-20,berlakuPada,Stage3A
Lem_KOTA_MADIUN,ARS-0593,menerbitkan,Stage3A
ARS-0594,Kat_PK,mengatur,Stage3A
ARS-0594,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_TANGGAMUS,ARS-0594,menerbitkan,Stage3A
ARS-0595,Kat_PK,mengatur,Stage3A
ARS-0595,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_JAYAPURA,ARS-0595,menerbitkan,Stage3A
ARS-0596,Kat_PK,mengatur,Stage3A
ARS-0597,Kat_PK,mengatur,Stage3A
ARS-0598,Kat_PK,mengatur,Stage3A
ARS-0599,Kat_PK,mengatur,Stage3A
Lem_PROVINSI_NANGGROE_ACEH_DARUSSALAM,ARS-0599,menerbitkan,Stage3A
Lem_PROVINSI_NANGGROE_ACEH_DARUSSALAM,ARS-0600,menerbitkan,Stage3A
Lem_PROVINSI_NANGGROE_ACEH_DARUSSALAM,ARS-0610,menerbitkan,Stage3A
ARS-0600,Kat_PK,mengatur,Stage3A
ARS-0601,Kat_PK,mengatur,Stage3A
ARS-0602,Kat_PK,mengatur,Stage3A
ARS-0603,Kat_PK,mengatur,Stage3A
ARS-0603,Tgl_1970-01-01,berlakuPada,Stage3A
Lem_KABUPATEN_BANTUL,ARS-0603,menerbitkan,Stage3A
ARS-0604,Kat_PK,mengatur,Stage3A
ARS-0605,Kat_PK,mengatur,Stage3A
ARS-0606,Kat_PK,mengatur,Stage3A
Lem_PROVINSI_DI_YOGYAKARTA,ARS-0606,menerbitkan,Stage3A
Lem_PROVINSI_DI_YOGYAKARTA,ARS-0607,menerbitkan,Stage3A
ARS-0607,Kat_PK,mengatur,Stage3A
ARS-0608,Kat_PK,mengatur,Stage3A
ARS-0609,Kat_PK,mengatur,Stage3A
Lem_PROVINSI_NUSA_TENGGARA_TIMUR,ARS-0609,menerbitkan,Stage3A
ARS-0610,Kat_PK,mengatur,Stage3A
ARS-0611,Kat_PK,mengatur,Stage3A
ARS-0612,Kat_PK,mengatur,Stage3A
ARS-0613,Kat_PK,mengatur,Stage3A
ARS-0613,Pej_SOEHARTO,ditetapkanOleh,Stage3A
ARS-0613,Tgl_1971-05-18,berlakuPada,Stage3A
ARS-0614,Kat_PK,mengatur,Stage3A
ARS-0614,Pej_SOEKARNO,ditetapkanOleh,Stage3A
ARS-0614,Tgl_1961-12-26,berlakuPada,Stage3A
