uri:ID,label,:LABEL
Lem_KEMENTERIAN_PEMBERDAYAAN_PEREMPUAN_DAN_PERLINDUNGAN_ANAK,KEMENTERIAN PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK,Lembaga
Lem_BADAN_NASIONAL_PENCARIAN_DAN_PERTOLONGAN,BADAN NASIONAL PENCARIAN DAN PERTOLONGAN,Lembaga
Lem_BADAN_AMIL_ZAKAT_NASIONAL,BADAN AMIL ZAKAT NASIONAL,Lembaga
Lem_BADAN_KEAMANAN_LAUT,BADAN KEAMANAN LAUT,Lembaga
Lem_KOMISI_NASIONAL_HAK_ASASI_MANUSIA,KOMISI NASIONAL HAK ASASI MANUSIA,Lembaga
Lem_BADAN_NASIONAL_PENANGGULANGAN_BENCANA,BADAN NASIONAL PENANGGULANGAN BENCANA,Lembaga
Lem_KABUPATEN_BONDOWOSO,KABUPATEN BONDOWOSO,Lembaga
Lem_KOTA_DEPOK,KOTA DEPOK,Lembaga
Lem_KEMENTERIAN_ENERGI_DAN_SUMBER_DAYA_MINERAL,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Lembaga
Lem_KEMENTERIAN_AGRARIA_DAN_TATA_RUANGBADAN_PERTANAHAN_NASIONAL,KEMENTERIAN AGRARIA DAN TATA RUANG/BADAN PERTANAHAN NASIONAL,Lembaga
Lem_BADAN_PENGAWAS_PEMILIHAN_UMUM,BADAN PENGAWAS PEMILIHAN UMUM,Lembaga
Lem_LEMBAGA_PERLINDUNGAN_SAKSI_DAN_KORBAN,LEMBAGA PERLINDUNGAN SAKSI DAN KORBAN,Lembaga
Lem_BADAN_KOORDINASI_PENANAMAN_MODAL,BADAN KOORDINASI PENANAMAN MODAL,Lembaga
Lem_LEMBAGA_KEBIJAKAN_PENGADAAN_BARANGJASA_PEMERINTAH,LEMBAGA KEBIJAKAN PENGADAAN BARANG/JASA PEMERINTAH,Lembaga
Lem_KABUPATEN_LUMAJANG,KABUPATEN LUMAJANG,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_PEREKONOMIAN,KEMENTERIAN KOORDINATOR BIDANG PEREKONOMIAN,Lembaga
Lem_KEMENTERIAN_PARIWISATA,KEMENTERIAN PARIWISATA,Lembaga
Lem_KEMENTERIAN_BADAN_USAHA_MILIK_NEGARA,KEMENTERIAN BADAN USAHA MILIK NEGARA,Lembaga
Lem_KEMENTERIAN_PERENCANAAN_PEMBANGUNAN_NASIONALBADAN_PERENCANAAN_PEMBANGUNAN_NASIONAL,KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL/BADAN PERENCANAAN PEMBANGUNAN NASIONAL,Lembaga
Lem_KEMENTERIAN_PENDIDIKAN_DAN_KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Lembaga
Lem_KEMENTERIAN_LINGKUNGAN_HIDUP_DAN_KEHUTANAN,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN,Lembaga
Lem_BADAN_INFORMASI_GEOSPASIAL,BADAN INFORMASI GEOSPASIAL,Lembaga
Lem_KABUPATEN_BANDUNG_BARAT,KABUPATEN BANDUNG BARAT,Lembaga
Lem_KOTA_BANDUNG,KOTA BANDUNG,Lembaga
Lem_PROVINSI_KALIMANTAN_UTARA,PROVINSI KALIMANTAN UTARA,Lembaga
Lem_KOTA_CIREBON,KOTA CIREBON,Lembaga
Lem_KEMENTERIAN_PENDAYAGUNAAN_APARATUR_NEGARA_DAN_REFORMASI_BIROKRASI,KEMENTERIAN PENDAYAGUNAAN APARATUR NEGARA DAN REFORMASI BIROKRASI,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_KEMARITIMAN,KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN,Lembaga
Lem_KEMENTERIAN_REPUBLIK_INDONESIASET_TEKNOLOGI_DAN_PENDIDIKAN_TINGGI,"KEMENTERIAN REPUBLIK INDONESIASET, TEKNOLOGI, DAN PENDIDIKAN TINGGI",Lembaga
Lem_KEMENTERIAN_PERHUBUNGAN,KEMENTERIAN PERHUBUNGAN,Lembaga
Lem_BADAN_EKONOMI_KREATIF,BADAN EKONOMI KREATIF,Lembaga
Lem_LEMBAGA_PENERBANGAN_DAN_ANTARIKSA_NASIONAL,LEMBAGA PENERBANGAN DAN ANTARIKSA NASIONAL,Lembaga
Lem_KOMISI_PEMBERANTASAN_KORUPSI,KOMISI PEMBERANTASAN KORUPSI,Lembaga
Lem_KOTA_BOGOR,KOTA BOGOR,Lembaga
Lem_KOTA_BANJARBARU,KOTA BANJARBARU,Lembaga
Lem_KABUPATEN_BLORA,KABUPATEN BLORA,Lembaga
Lem_KABUPATEN_LUWU_TIMUR,KABUPATEN LUWU TIMUR,Lembaga
Lem_KABUPATEN_BLITAR,KABUPATEN BLITAR,Lembaga
Lem_KEMENTERIAN_PERTANIAN,KEMENTERIAN PERTANIAN,Lembaga
Lem_LEMBAGA_SANDI_NEGARA,LEMBAGA SANDI NEGARA,Lembaga
Lem_BADAN_TENAGA_NUKLIR_NASIONAL,BADAN TENAGA NUKLIR NASIONAL,Lembaga
Lem_BADAN_NASIONAL_PENANGGULANGAN_TERORISME,BADAN NASIONAL PENANGGULANGAN TERORISME,Lembaga
Lem_PUSAT_PELAPORAN_DAN_ANALISIS_TRANSAKSI_KEUANGAN,PUSAT PELAPORAN DAN ANALISIS TRANSAKSI KEUANGAN,Lembaga
Lem_PROVINSI_DKI_JAKARTA,PROVINSI DKI JAKARTA,Lembaga
Lem_KEMENTERIAN_KOMUNIKASI_DAN_INFORMATIKA,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,Lembaga
Lem_LEMBAGA_ADMINISTRASI_NEGARA,LEMBAGA ADMINISTRASI NEGARA,Lembaga
Lem_BADAN_PENGAWASAN_KEUANGAN_DAN_PEMBANGUNAN,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Lembaga
Lem_KOTA_TASIKMALAYA,KOTA TASIKMALAYA,Lembaga
Lem_KOTA_PANGKAL_PINANG,KOTA PANGKAL PINANG,Lembaga
Lem_KABUPATEN_INDRAMAYU,KABUPATEN INDRAMAYU,Lembaga
Lem_KEMENTERIAN_KEHUTANAN,KEMENTERIAN KEHUTANAN,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_KESEJAHTERAAN_RAKYAT,KEMENTERIAN KOORDINATOR BIDANG KESEJAHTERAAN RAKYAT,Lembaga
Lem_LEMBAGA_ILMU_PENGETAHUAN_INDONESIA,LEMBAGA ILMU PENGETAHUAN INDONESIA,Lembaga
Lem_PROVINSI_SUMATERA_SELATAN,PROVINSI SUMATERA SELATAN,Lembaga
Lem_PROVINSI_BANTEN,PROVINSI BANTEN,Lembaga
Lem_KABUPATEN_TANJUNG_JABUNG_TIMUR,KABUPATEN TANJUNG JABUNG TIMUR,Lembaga
Lem_KABUPATEN_GARUT,KABUPATEN GARUT,Lembaga
Lem_KABUPATEN_BADUNG,KABUPATEN BADUNG,Lembaga
Lem_KEMENTERIAN_NEGARA_PERUMAHAN_RAKYAT,KEMENTERIAN NEGARA PERUMAHAN RAKYAT,Lembaga
Lem_PROVINSI_SUMATERA_BARAT,PROVINSI SUMATERA BARAT,Lembaga
Lem_PROVINSI_JAWA_BARAT,PROVINSI JAWA BARAT,Lembaga
Lem_KEMENTERIAN_PENDIDIKAN_NASIONAL,KEMENTERIAN PENDIDIKAN NASIONAL,Lembaga
Lem_KOTA_BANJARMASIN,KOTA BANJARMASIN,Lembaga
Lem_PROVINSI_SULAWESI_SELATAN,PROVINSI SULAWESI SELATAN,Lembaga
Lem_PROVINSI_BANGKA_BELITUNG,PROVINSI BANGKA BELITUNG,Lembaga
Lem_PROVINSI_KALIMANTAN_TIMUR,PROVINSI KALIMANTAN TIMUR,Lembaga
Lem_KEPOLISIAN_NEGARA_REPUBLIK_INDONESIA,KEPOLISIAN NEGARA REPUBLIK INDONESIA,Lembaga
Lem_KABUPATEN_PURWAKARTA,KABUPATEN PURWAKARTA,Lembaga
Lem_KABUPATEN_GRESIK,KABUPATEN GRESIK,Lembaga
Lem_KABUPATEN_MUSI_RAWAS,KABUPATEN MUSI RAWAS,Lembaga
Lem_PROVINSI_JAWA_TENGAH,PROVINSI JAWA TENGAH,Lembaga
Lem_KOTA_CILEGON,KOTA CILEGON,Lembaga
Lem_KABUPATEN_ACEH_UTARA,KABUPATEN ACEH UTARA,Lembaga
Lem_KABUPATEN_TANAH_BUMBU,KABUPATEN TANAH BUMBU,Lembaga
Lem_KABUPATEN_PURBALINGGA,KABUPATEN PURBALINGGA,Lembaga
Lem_KABUPATEN_BANYUMAS,KABUPATEN BANYUMAS,Lembaga
Lem_KABUPATEN_MAGELANG,KABUPATEN MAGELANG,Lembaga
Lem_KOTA_MADIUN,KOTA MADIUN,Lembaga
Lem_KABUPATEN_TANGGAMUS,KABUPATEN TANGGAMUS,Lembaga
Lem_KABUPATEN_JAYAPURA,KABUPATEN JAYAPURA,Lembaga
Lem_PROVINSI_NANGGROE_ACEH_DARUSSALAM,PROVINSI NANGGROE ACEH DARUSSALAM,Lembaga
Lem_KABUPATEN_BANTUL,KABUPATEN BANTUL,Lembaga
Lem_PROVINSI_DI_YOGYAKARTA,PROVINSI DI YOGYAKARTA,Lembaga
Lem_PROVINSI_NUSA_TENGGARA_TIMUR,PROVINSI NUSA TENGGARA TIMUR,Lembaga
