uri:ID,jenis,nomor,status,tahun,tentang,title,:LABEL
ARS-0177,PERATURAN MENTERI,03/PER/M.KUKM/III/2018,active,2018,Jadwal Retensi Arsip Substantif di Lingkungan Kementerian Koperasi dan Usaha Kecil dan Menengah,Peraturan Menteri Koperasi dan UKM Nomor 03/PER/M.KUKM/III/2018 Tahun 2018,Peraturan
ARS-0178,PERATURAN MENTERI,PER-04/MBU/03/2018,active,2018,Penyelenggaraan Arsip Dinamis di Lingkungan Kementerian Badan Usaha Milik Negara,Peraturan Menteri Badan Usaha Milik Negara Nomor PER-04/MBU/03/2018 Tahun 2018,Peraturan
ARS-0179,PERATURAN MENTERI,05,active,2018,Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Koperasi dan Usaha Kecil dan Menengah,Peraturan Menteri Koperasi dan UKM Nomor 05 Tahun 2018,Peraturan
ARS-0180,PERATURAN MENTERI,10,active,2018,Klasifikasi Arsip di Lingkungan Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,Peraturan Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional Nomor 10 Tahun 2018,Peraturan
ARS-0181,PERATURAN MENTERI,16/PRT/M/2018,active,2018,Klasifikasi Arsip Kementerian Pekerjaan Umum dan Perumahan Rakyat,Peraturan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 16/PRT/M/2018 Tahun 2018,Peraturan
ARS-0182,PERATURAN MENTERI,24,active,2018,Klasifikasi Arsip di Lingkungan Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 24 Tahun 2018,Peraturan
ARS-0183,PERATURAN MENTERI,21,active,2018,Pedoman Tata Kearsipan Dinamis di Lingkungan Kementerian Kesehatan,Peraturan Menteri Kesehatan Nomor 21 Tahun 2018,Peraturan
ARS-0184,PERATURAN MENTERI,5,active,2018,Klasifikasi Arsip Kementerian Koordinator Bidang Kemaritiman,Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 5 Tahun 2018,Peraturan
ARS-0185,PERATURAN MENTERI,23,active,2018,"Klasifikasi Arsip, Jadwal Retensi Arsip, dan Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Riset, Teknologi, dan Pendidikan Tinggi","Peraturan Menteri Riset, Teknologi, dan Pendidikan Tinggi Nomor 23 Tahun 2018",Peraturan
ARS-0186,PERATURAN MENTERI,P.85/MENLHK/SETJEN/KUM.1/8/2018,active,2018,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.85/MENLHK/SETJEN/KUM.1/8/2018 Tahun 2018,Peraturan
ARS-0187,PERATURAN MENTERI,69,active,2018,Sistem Klasifikasi Keamanan dan Akses Arsip di Lingkungan Kementerian Dalam Negeri,Peraturan Menteri Dalam Negeri Nomor 69 Tahun 2018,Peraturan
ARS-0188,PERATURAN MENTERI,11,active,2018,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Koordinator Bidang Kemaritiman,Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 11 Tahun 2018,Peraturan
ARS-0189,PERATURAN MENTERI,10,active,2018,Jadwal Retensi Arsip Kementerian Koordinator Bidang Kemaritiman,Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 10 Tahun 2018,Peraturan
ARS-0190,PERATURAN MENTERI,PM112,active,2018,Pencabutan Atas Peraturan Menteri Perhubungan Nomor PM 78 Tahun 2010 tentang Kode Klasifikasi Arsip Kementerian Perhubungan,Peraturan Menteri Perhubungan Nomor PM112 Tahun 2018,Peraturan
ARS-0191,PERATURAN MENTERI,17,active,2018,Jadwal Retensi Arsip Kementerian Ketenagakerjaan,Peraturan Menteri Ketenagakerjaan Nomor 17 Tahun 2018,Peraturan
ARS-0192,PERATURAN MENTERI,22,active,2018,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Ketenagakerjaan,Peraturan Menteri Ketenagakerjaan Nomor 22 Tahun 2018,Peraturan
ARS-0193,PERATURAN MENTERI,24,active,2018,Pengelolaan Arsip Terjaga di Lingkungan Kementerian Pertahanan,Peraturan Menteri Pertahanan Nomor 24 Tahun 2018,Peraturan
ARS-0194,PERATURAN BADAN/LEMBAGA,1,active,2018,Perubahan Kedua Atas Peraturan Kepala Arsip Nasional Republik Indonesia  Nomor 29 Tahun 2014 tentang Kelas Jabatan  di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 1 Tahun 2018,Peraturan
ARS-0195,PERATURAN BADAN/LEMBAGA,2,active,2018,Petunjuk Pelaksanaan Dana Dekonsentrasi Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 2 Tahun 2018,Peraturan
ARS-0196,PERATURAN BADAN/LEMBAGA,3,active,2018,Pedoman Penilaian Prestasi Kerja Pegawai Negeri Sipil  di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 3 Tahun 2018,Peraturan
ARS-0197,PERATURAN BADAN/LEMBAGA,4,active,2018,Perubahan Atas Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 6 Tahun 2017 Tentang Tata Cara Pengangkatan Pegawai Negeri Sipil  Dalam Jabatan Fungsional Arsiparis Melalui Penyesuaian/Inpassing,Peraturan Arsip Nasional Nomor 4 Tahun 2018,Peraturan
ARS-0198,PERATURAN BADAN/LEMBAGA,5,active,2018,Pedoman Fumigasi Arsip,Peraturan Arsip Nasional Nomor 5 Tahun 2018,Peraturan
ARS-0199,PERATURAN BADAN/LEMBAGA,6,active,2018,Petunjuk Pelaksanaan Anggaran Pendapatan dan Belanja Negara Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 6 Tahun 2018,Peraturan
ARS-0200,PERATURAN BADAN/LEMBAGA,2,active,2018,Jadwal Retensi Arsip Badan Ekonomi Kreatif Republik Indonesia,Peraturan Badan Ekonomi Kreatif Nomor 2 Tahun 2018,Peraturan
ARS-0201,PERATURAN BADAN/LEMBAGA,8,active,2018,Pedoman Pengisian Jabatan Pimpinan Tinggi Melalui Mutasi di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 8 Tahun 2018,Peraturan
ARS-0202,PERATURAN BADAN/LEMBAGA,1,active,2018,"Jadwal Retensi Arsip Substantif Badan Meteorologi, Klimatologi, dan Geofisika","Peraturan Badan Meteorologi,Klimatologi,dan Geofisika Nomor 1 Tahun 2018",Peraturan
ARS-0203,PERATURAN BADAN/LEMBAGA,7,active,2018,Tata Naskah Dinas di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 7 Tahun 2018,Peraturan
ARS-0204,PERATURAN BADAN/LEMBAGA,2,active,2018,Jadwal Retensi Arsip di Lingkungan Lembaga Penerbangan dan Antariksa Nasional,Peraturan Lembaga Penerbangan dan Antariksa Nasional Nomor 2 Tahun 2018,Peraturan
